id,name
156,"BI-аналитик, аналитик данных"
160,DevOps-инженер
10,Аналитик
12,"Арт-директор, креативный директор"
150,Бизнес-аналитик
25,Гейм-дизайнер
165,Дата-сайентист
34,"Дизайнер, художник"
36,Директор по информационным технологиям (CIO)
73,Менеджер продукта
155,Методолог
96,"Программист, разработчик"
164,Продуктовый аналитик
104,Руководитель группы разработки
157,Руководитель отдела аналитики
107,Руководитель проектов
112,Сетевой инженер
113,Системный администратор
148,Системный аналитик
114,Системный инженер
116,Специалист по информационной безопасности
124,Тестировщик
125,Технический директор (CTO)
126,Технический писатель
